Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.8041858089129,6.44121280934116,7.38577178397856,4.67399603536345,-0.661709164713771,4.38389195513915,4.97595150553836,0.626149149168802,2.30237251516839,5.60188791482222,5.1332034082496,13.7121023720065,-4.64470870797776,-6.60118564073727
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933,27.265
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,3.68686008453369,..,..,8.39764022827148,..,..,..,9.99592018127441,..,10.85435962677,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.679,..,..,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.42912324722166,2.03159268395297,1.93762080205226,1.62586504402611,1.89617402592365,1.27543168367414,1.98666133171195,2.02805963071135,1.41109078954247,1.62088661717011,2.04147163139547,6.72520271530052,4.75976421930108,2.21448953273292
Albania,ALB,Gini index,SI.POV.GINI,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..,..
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12153.1159714747,12293.0036852979,12525.8010092748,12832.9501304264,13157.0887547265,13693.2662282317,14155.8537275777,14711.8285221176,15079.3740526678,14663.6386904016,16127.7048522441,17112.9379383833,17992.0507038785,18920.8942644729
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969,63.799,64.603,65.38
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,49.3997040639925,58.6214186004979,63.8440585382953,65.5507096860696,61.9608485481051,58.4884791901189,58.0177836674929,56.0802964109938,61.4085141527142,61.5853024328899,59.9698690125562,62.647921513098,64.7293520237257,81.9986267089844
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.5242115050527,8.8914509106232,3.25423910998842,2.91692692067458,4.78444700693894,6.39769480268751,5.5911159096167,4.26999020467083,1.95176821052892,2.41513094083414,7.22606307415475,9.26551551551555,9.32217375928319,4.04611455313438
Algeria,DZA,Gini index,SI.POV.GINI,27.6,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15442.1244460542
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261,74.772,75.268,75.748
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,32.3866003582095,33.5570987119466,35.4386275633738,36.0427983596258,38.2444735695552,43.9040620880927,49.177689984383,52.8819387317527,53.8645018203122,53.3752192208988,54.2222597146723,53.3875786756,55.5320185816789,54.4283410150344
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..
